BEDROOMS,PROPERTY TYPE,HAS GYM,EN SUITE,SWIMMING POOL,Has DSQ,Has GARDEN,LOCATION,SELLING PRICE 
5,Townhouse,0,1,0,0,0,Westlands,"87,000,000"
4,House,0,1,0,0,0,Westlands,"250,000,000"
3,House,0,1,0,0,0,Syokimau,"13,000,000"
4,Townhouse,0,1,0,0,0,Kiambu Road,"28,000,000"
5,NOT PROVIDED,0,0,0,0,0,Kileleshwa,"60,000,000"
5,Townhouse,0,1,0,0,0,Lavington,"55,000,000"
3,House,0,1,0,0,0,Nyali,"13,500,000"
5,House,0,1,0,0,0,Westlands,"128,000,000"
6,House,0,1,0,0,0,Westlands,"180,000,000"
5,Townhouse,0,1,0,1,0,Westlands,"39,000,000"
3,House,0,1,0,0,0,Kikambala,"12,000,000"
4,Villa,0,1,0,0,0,Vipingo,"75,000,000"
4,Villa,0,1,0,0,0,Kikambala,"85,000,000"
5,House,0,1,0,0,0,Westlands,"75,000,000"
4,House,0,1,0,0,0,Kiambu Road,"37,500,000"
5,House,0,1,0,0,0,Westlands,"250,000,000"
4,House,0,1,0,0,0,Nyali,"33,000,000"
4,House,0,0,0,0,0,Milimani,"6,300,000"
3,NOT PROVIDED,0,0,0,1,0,South C,"19,000,000"
3,House,0,1,0,0,0,Ruiru,"8,500,000"
4,House,0,1,0,0,0,Kitengela,"6,000,000"
6,House,0,1,0,0,0,Westlands,"150,000,000"
4,Townhouse,0,1,0,0,0,Lavington,"55,000,000"
5,Townhouse,0,1,0,0,0,Ruiru,"20,000,000"
4,Villa,0,1,0,0,0,Mombasa Island,"11,950,000"
3,House,0,1,0,0,0,Ongata Rongai,"7,000,000"
4,Townhouse,0,1,0,0,0,Thika,"12,000,000"
5,Townhouse,0,1,0,0,0,Westlands,"160,000,000"
4,Villa,0,1,0,0,0,Ruiru,"10,500,000"
3,House,0,1,0,0,0,Syokimau,"8,000,000"
5,NOT PROVIDED,0,0,0,0,0,Lavington,"80,000,000"
4,Townhouse,0,1,0,1,0,Lavington,"40,000,000"
6,Townhouse,0,1,0,0,0,Lavington,"121,000,000"
3,House,0,1,0,0,0,Kisaju,"5,800,000"
6,House,0,1,0,0,0,Nyali Area,"78,000,000"
4,House,0,1,0,0,0,Ngong,"13,800,000"
6,House,0,1,0,0,0,Karen,"120,000,000"
4,Townhouse,0,1,0,0,0,Syokimau,"14,500,000"
4,House,0,0,0,0,0,Westlands,"83,000,000"
5,House,0,1,0,0,0,Westlands,"90,000,000"
4,House,0,1,0,0,0,Roysambu,"60,000,000"
5,Townhouse,0,1,0,0,0,Lavington,"85,000,000"
1,House,0,1,0,0,0,Westlands,"220,000,000"
2,Villa,0,1,0,0,0,Kiambu Road,"19,250,000"
3,House,0,1,0,1,0,Kamulu Joska Malaa,"8,150,000"
5,House,0,1,0,0,0,Kileleshwa,"48,000,000"
4,House,0,1,0,0,0,Naivasha,"165,000,000"
4,Townhouse,0,1,0,0,0,Lavington,"70,000,000"
5,NOT PROVIDED,0,0,0,0,0,Kileleshwa,"65,000,000"
5,Villa,0,1,0,0,0,Karen,"110,000,000"
5,NOT PROVIDED,0,0,0,0,1,Lavington,"85,000,000"
4,House,0,1,0,0,0,Karen,"88,000,000"
3,Villa,0,1,0,0,0,Ngong,"12,500,000"
6,House,0,1,0,0,0,Westlands,"155,000,000"
4,House,0,0,0,0,0,Kitengela,"23,000,000"
3,Townhouse,0,1,0,0,0,Kitengela,"12,300,000"
